function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_catclose	c:@F@p101_catclose	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/nl_types.c	libraries/lib_posix/include/p101_posix/p101_nl_types.h	yes	yes	yes	catclose	c:@F@catclose
p101_catgets	c:@F@p101_catgets	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/nl_types.c	libraries/lib_posix/include/p101_posix/p101_nl_types.h	yes	yes	yes	catgets	c:@F@catgets
p101_catopen	c:@F@p101_catopen	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/nl_types.c	libraries/lib_posix/include/p101_posix/p101_nl_types.h	yes	yes	yes	catopen	c:@F@catopen
p101_duplocale	c:@F@p101_duplocale	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h	yes	yes	yes	duplocale	c:@F@duplocale
p101_freelocale	c:@F@p101_freelocale	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h	yes	yes	yes	freelocale	c:@F@freelocale
p101_iconv	c:@F@p101_iconv	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/iconv.c	libraries/lib_posix/include/p101_posix/p101_iconv.h	yes	yes	yes	iconv	c:@F@iconv
p101_iconv_close	c:@F@p101_iconv_close	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/iconv.c	libraries/lib_posix/include/p101_posix/p101_iconv.h	yes	yes	yes	iconv_close	c:@F@iconv_close
p101_iconv_open	c:@F@p101_iconv_open	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/iconv.c	libraries/lib_posix/include/p101_posix/p101_iconv.h	yes	yes	yes	iconv_open	c:@F@iconv_open
p101_newlocale	c:@F@p101_newlocale	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h	yes	yes	yes	newlocale	c:@F@newlocale
p101_nl_langinfo	c:@F@p101_nl_langinfo	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/langinfo.c	libraries/lib_posix/include/p101_posix/p101_langinfo.h	yes	yes	yes	nl_langinfo	c:@F@nl_langinfo
p101_nl_langinfo_l	c:@F@p101_nl_langinfo_l	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/langinfo.c	libraries/lib_posix/include/p101_posix/p101_langinfo.h	yes	yes	yes	nl_langinfo_l	c:@F@nl_langinfo_l
p101_uselocale	c:@F@p101_uselocale	POSIX	libraries/lib_locale/src/locale.c	libraries/lib_locale/include/p101_locale/locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h	yes	yes	yes	uselocale	c:@F@uselocale
